"","n1","log_2_n2","power_welch","power_t","fdr_welch","fdr_t","diff_p_value"
"49",4,24,0.31574,0.31574,0.0971168134417771,0.0971168134417771,0.000115243661965403
"50",4,25,0.31572,0.31572,0.0969901550294109,0.0969901550294109,5.78121464812358e-05
"51",5,1,0.22938,0.59576,0.110683940530147,0.427643280658876,609.00208350806
"52",5,2,0.47656,0.56044,0.0692149974356415,0.256464244608091,377.217100261489
"53",5,3,0.56462,0.54052,0.107423093510006,0.169964109115346,214.493152699034
"54",5,4,0.58086,0.53504,0.146461810952816,0.124571156714581,114.540026979498
"55",5,5,0.57398,0.52832,0.156855796165597,0.106271929132107,58.7930648673759
"56",5,6,0.56244,0.53124,0.148340666462353,0.0977542394360598,29.4864313666532
"57",5,7,0.55196,0.53158,0.134290657496281,0.0923814246715114,14.8242925330607
"58",5,8,0.5435,0.53044,0.118894368676876,0.091072957440672,7.41505261288654
"59",5,9,0.54016,0.53328,0.106123510270111,0.0896493438018611,3.70235765687006
"60",5,10,0.53532,0.53118,0.100086330890337,0.0900733294806292,1.86265188506323
"61",5,11,0.53364,0.5316,0.0959639788345581,0.0909628691742061,0.937588386392015
"62",5,12,0.5352,0.5341,0.0930788019064706,0.0905175505691366,0.468703255356854
"63",5,13,0.53474,0.53414,0.0919477994165375,0.090709487401228,0.234940338685053
"64",5,14,0.53276,0.53244,0.0909814924150823,0.0902152528889111,0.117372407341745
"65",5,15,0.5343,0.53422,0.0903567847899476,0.0897794577514168,0.0587137706434709
"66",5,16,0.53474,0.53472,0.0905528968861063,0.0904281016804807,0.0293733592669254
"67",5,17,0.53472,0.53466,0.0904599538214147,0.0903783577362001,0.0147480367772014
"68",5,18,0.53458,0.53458,0.0902887347938137,0.0902887347938137,0.00735971404795609
"69",5,19,0.53344,0.53344,0.0903510229304438,0.0903510229304438,0.00368319410858188
"70",5,20,0.53402,0.53402,0.0900280054405796,0.0900280054405796,0.00184109030801509
"71",5,21,0.5323,0.5323,0.0895570899139046,0.0895570899139046,0.000919596732538172
"72",5,22,0.53366,0.53366,0.089646008610759,0.089646008610759,0.000460192177572674
"73",5,23,0.534,0.534,0.0902388968007651,0.0902388968007651,0.000230241997329074
"74",5,24,0.53442,0.53442,0.0898701729239443,0.0898701729239443,0.000115042598971994
"75",5,25,0.5334,0.5334,0.0894691058995983,0.0894691058995983,5.75601771943265e-05
"76",6,1,0.29058,0.6931,0.167894348335404,0.527536888765466,672.2848584343
"77",6,2,0.52296,0.65482,0.0747196549589534,0.32926435686114,432.169842128998
"78",6,3,0.62544,0.6425,0.0964980342286005,0.208630820023291,252.862690872032
"79",6,4,0.64658,0.63278,0.123139842082522,0.141656767850444,138.228740535991
"80",6,5,0.64664,0.62894,0.130740717551075,0.113060727515105,72.400932344996
"81",6,6,0.64088,0.62616,0.125415442706248,0.100809272809313,36.6215087852476
"82",6,7,0.63508,0.6256,0.114987244674232,0.0951928537966523,18.3611876991488
"83",6,8,0.63436,0.62904,0.106200523070603,0.0933106036709205,9.1258534516194
"84",6,9,0.62772,0.62464,0.100178895495904,0.0929020362410469,4.55042980599171
"85",6,10,0.62724,0.62534,0.0969704591247457,0.0929174241788227,2.27866278437971
"86",6,11,0.62884,0.62798,0.0949552493032733,0.0924627762322109,1.13953453805634
